Appareil;Nom=;Four Thermidor Efita;;Numéro de série=;8470479;;Version de logiciel=;5.4;;;
;Adresse MAC=;00:0A:8D:81:3F:CF;;Langue=;fr;;Pays=;FR;;Fuseau horaire=;GMT
Groupe;Group 2;;;;;;;;;;
T° Bac trempe;Bas=;0;Haut=;50;Unités=;°C;;;;;
% Puissance;Bas=;0;Haut=;100;Unités=;%;;;;;
Consigne T°;Bas=;50;Haut=;550;Unités=;°C;;;;;
N° Programme;Bas=;0;Haut=;50;Unités=;;;;;;
Chrono Trempe;Bas=;00:00:00;Haut=;00:00:00;Unités=;;;;;;
Date/Heure;;T° Bac trempe;% Puissance;Consigne T°;N° Programme;Chrono Trempe;;;;;
;;°C;%;°C;;;;;;;
09/02/23 13:55:52.75;09/02/23 13:55:52 Démarrage lot (Invité);;;;;;;;;;
09/02/23 13:55:52.75;09/02/23 13:55:52 N° OF 340653--5374OFF;;;;;;;;;;
09/02/2023 14:42;;20;22,8;495;6;00:00:00;;;;;
09/02/2023 14:42;;20;23,4;495;6;00:00:00;;;;;
09/02/2023 14:42;;20;22,2;495;6;00:00:00;;;;;
09/02/2023 14:42;;20;21,7;495;6;00:00:00;;;;;
09/02/2023 14:42;;20;21;495;6;00:00:00;;;;;
09/02/2023 14:43;;20;21,7;495;6;00:00:00;;;;;
09/02/2023 14:43;;20;22,5;495;6;00:00:00;;;;;
09/02/2023 14:43;;20;23,1;495;6;00:00:00;;;;;
09/02/2023 14:43;;20;22,2;495;6;00:00:00;;;;;
09/02/2023 14:43;;20;21,1;495;6;00:00:00;;;;;
09/02/2023 14:43;;20;21;495;6;00:00:00;;;;;
09/02/2023 14:44;;20;21;495;6;00:00:00;;;;;
09/02/2023 14:44;;20;21,9;495;6;00:00:00;;;;;
09/02/2023 14:44;;20;22,6;495;6;00:00:00;;;;;
09/02/2023 14:44;;20;22,9;495;6;00:00:00;;;;;
09/02/2023 14:44;;20;22,7;495;6;00:00:00;;;;;
09/02/2023 14:44;;20;22,2;495;6;00:00:00;;;;;
09/02/2023 14:45;;20;20,5;495;6;00:00:00;;;;;
